ques_id,question,answer
1,根据2023年年度报告摘要，中国联通在中央企业品牌建设能力对标中位于通信行业第几名？,中国联通在中央企业品牌建设能力对标中，央企排名第四、通信行业位列第一。
2,帮我查一下，2023年联通5G中频基站的数量和新增量分别是多少？,"""5G 中频基站超过121 万站，5G 中频基站新增 22 万站"""
3,查询2023年年度报告摘要，告诉我联通算网数智业务发展能力的增强主要体现在哪几个方面。,算网数智业务发展能力不断增强，一是在算力服务上，联通云云池资源快速增长，完成“一市一池”布局。在政务云、央国企上云等重点领域，新增私有云标杆项目 100+个。二是在云数据中心上，IDC行业内增幅领先。三是在数据服务上，全网大数据收入高速增长，市场份额连续 5年保持行业领先，通过 DCMM5级评估；区块链与同态加密等技术融合实现跨域组网、存储压降 30%，底层平台性能突破2万TPS。四是数智应用上，物联网发布全球首款 5G RedCap 商用模组， “格物”设备管理平台千万级并发能力、 场景化物模型优势赋能重点行业客户数字化转型升级，打造行业标杆项目。人工智能领域构建自主创新的人工智能底座，打造政务、经济等行业大模型和算网数智产品，全面赋能工厂、园区工制造等 30个以上的场景应用落地。四是网信安全上，依托“墨攻”安全运营服务平台，发挥大网态势感知特色能力，打造“端网云数服”一体化运营服务模式，在数字政府、央国企等领域新增新模式案例 50+个。
4,2023年中国联通通信业务的用户规模达到了多少？,联网通信用户规模突破10亿
5,2023年前三季度中国联通移动用户规模情况如何？,用户规模再创新高，累计达到 8.4 亿户，其中 5G 套餐用户达到 2.0 亿户
6,2023年前三季度中国联通新获专利数量同比提升了多少？,"年内授权专利数量达到 1,888 个，同比提升 38.2%，"
7,告诉我2023年第一季度联通“大计算”业务的开展情况。,大计算”方面，积极落实东数西算战略，不断深化“5+4+31+X”新型数据中心体系，IDC机架4/14中国联合网络通信股份有限公司2023年第一季度报告数达到37.2万架。
8,2023年第一季度中国联通大数据收入较去年同期提升了多少？,大数据实现收入人民币14.98亿元，较去年同期提升54.2%。
9,中国联通2023年第一季度报告指出，公司正在从传统管道运营商向什么类型的企业转型升级？,中国联通正在从传统管道运营商向数字科技领军企业加快跃迁升级。
10,告诉我中国联通2023年年度股东大会现场会议于何时召开？,会议召开时间：现场会议时间：2024年5月28日（星期二）上午9点
11,2023年度董事会报告中指出，联通在原创技术策源地建设上取得了哪些成果？,公司加快原创技术策源地建设，科技创新布局更加清晰，组建人工智能创新中心，主导国际标准立项40项，联通数科、中讯设计院入选国资委“创建世界一流和专精特新示范企业”，智网科技、智慧足迹入选国家级专精特新“小巨人”企业，“5G共建共享SA建设工程”获得国家优质工程金奖。
12,在2023年度，中国联通监事会召开了几次会议？,报告期内，监事会共召开5次会议，所有监事均出席了会议，所有审议事项均获通过。
13,查一下年度报告，告诉我2021年联通大数据业务收入和市场份额的情况。,2021年大数据收入达人民币26亿元，同比增长48.7%，市场份额连续三年保持电信运营商首位。
14,中国联通2021年归属于上市公司股东的净利润相比上年的增长百分比是多少？,本期盈利2021年，公司归属于母公司净利润实现人民币63.1亿元，同比增长14.2%。每股基本盈利为人民币0.206元，同比增长15.7%。
15,2021年上半年联通履行了哪些社会责任？,公司全面落实网络强国、数字中国、智慧社会建设，赋能产业转型升级，推动网络供给侧结构性改革。坚决履行责任担当，积极投身数字化疫情防控和防汛救灾，全力保障通信安全和畅通。推出“数字乡村”品牌，积极提供数字化治理服务、产业服务、民生服务、属地服务解决方案，助力乡村振兴。发布《 “碳达峰、碳中和”十四五行动计划》 ，以绿色低碳循环发展为目标，不断提高通信网络基础设施绿色化水平，助力千行百业“碳达峰、碳中和” 。
